이름,부서,직책,이메일
이선영,고객지원,부장,gcoe@yu.net
곽진호,고객지원,주임,hongmigyeong@ihong.kr
박준혁,고객지원,차장,wgim@live.com
김영자,연구개발,주임,yeongceol48@jusighoesa.com
황영수,인사,전무,gimjeongho@bagjang.kr
이은영,영업,이사,iminjun@munan.com
박순옥,연구개발,전무,seongmin24@yuhanhoesa.kr
김영철,재무,상무,igwangsu@naver.com
이승민,영업,부장,yeweongweon@yu.com
장상호,인사,대리,sumino@munigim.kr
김윤서,전략기획,사원,jeongsugim@dreamwiz.com
박경자,IT,대리,igeonu@nate.com
류정훈,전략기획,전무,ysin@gmail.com
최준서,인사,대리,ihyeonsug@gmail.com
최정훈,고객지원,대리,hgim@live.com
최지훈,재무,부장,jaeho76@gmail.com
김정숙,연구개발,이사,ogjagim@honggimi.org
이현우,마케팅,과장,gyeongsug32@ju.kr
김예원,생산,부장,gyeongsuggim@yuni.org
이선영,인사,대표이사,ygang@hotmail.com
이상호,고객지원,차장,li@yungim.org
김현주,고객지원,상무,geonui@coegim.com
강상철,마케팅,대리,gimsiu@jusighoesa.kr
오은영,홍보,전무,yjin@bagson.net
문미숙,재무,사원,yejinha@yu.com
박주원,영업,전무,yejunhwang@naver.com
홍현정,홍보,대리,gangminseog@yuhanhoesa.org
최영길,홍보,상무,seonghyeon64@gimgimbae.com
박상현,인사,상무,yeeunbag@gmail.com
김현우,IT,차장,rbag@jusighoesa.kr
이우진,마케팅,상무,sanghyeon07@hotmail.com
문순자,영업,이사,jan@nate.com
유승민,IT,대리,eunjii@sonbag.kr
김정웅,홍보,대리,ujinryu@nate.com
이영철,인사,상무,mhwang@gmail.com
김진호,전략기획,과장,jeonghun77@dreamwiz.com
최성민,마케팅,대표이사,ganggyeongsu@live.com
김하윤,재무,부장,jihun97@jangbagheo.com
김상호,고객지원,대리,gcoe@gmail.com
최옥순,생산,이사,ihyeonju@yuhanhoesa.kr
김지아,마케팅,상무,hyeonju95@dreamwiz.com
박지훈,마케팅,과장,eunjui@gimbagbag.kr
문혜진,영업,상무,eunjeongi@gimangweon.com
윤옥자,연구개발,전무,yunseoi@naver.com
이옥순,영업,부장,jiyeon82@gimii.kr
박서윤,영업,전무,gimeunjeong@gimcoe.org
최준영,생산,전무,jeongsug60@yungimyun.com
안지현,전략기획,이사,gimjunyeong@jusighoesa.net
김예지,인사,상무,fgim@gmail.com
김숙자,재무,사원,oyun@daum.net
이채원,고객지원,상무,bbag@live.com
김하은,IT,사원,sanghunson@coecoegim.net
전현지,연구개발,주임,uhan@jiii.org
박민수,홍보,과장,yeongjingim@yungimbag.kr
박경희,생산,부장,baghyeonju@yuhanhoesa.com
김영식,IT,과장,cjang@gimgimbag.com
강민지,재무,이사,sugjason@yu.com
조혜진,홍보,과장,myeongsugan@dreamwiz.com
허미숙,재무,차장,ogsunjeon@hanmail.net
최은서,고객지원,상무,egim@gangi.com
이건우,재무,대표이사,qi@nami.kr
오경희,인사,사원,gimseongsu@bagcoe.com
이경수,전략기획,부장,hyeonjuni@gmail.com
곽영순,고객지원,이사,jeongung54@yu.kr
이중수,전략기획,이사,bagyeonghyi@yu.com
이건우,연구개발,사원,gyeonghyian@daum.net
백지아,마케팅,전무,jeongsugim@dreamwiz.com
안지영,재무,사원,cunja59@daum.net
김정웅,생산,이사,ihyeonu@ju.com
김은지,인사,대표이사,jiweon16@naver.com
이서윤,영업,전무,pson@gimyanggim.net
권서준,고객지원,차장,seongjini@naver.com
이동현,영업,대리,areum73@yu.net
김도현,고객지원,대리,juyeongsu@hanmail.net
최성호,인사,과장,hyeonjeongo@gimgweonhong.com
손광수,인사,이사,gimjeongnam@naver.com
고정호,재무,사원,gimhyeonjun@dreamwiz.com
김윤서,인사,대표이사,kyang@gimgimbag.com
김은주,홍보,부장,yeeunbag@baeiseo.com
김숙자,재무,차장,yeongceoli@hongibag.net
김순자,마케팅,과장,minseoi@coeiyun.com
이영식,홍보,대리,tyang@igimjang.net
윤유진,재무,이사,ngim@icoe.kr
이민준,홍보,차장,jaehyeoni@gmail.com
박영일,영업,부장,eunseo96@gmail.com
임동현,재무,대리,sbag@gimyun.com
백상훈,생산,상무,bagmisug@ogimi.com
김예진,생산,이사,eunseo43@gimjeon.com
박영자,IT,대표이사,hyeonu86@ihwangi.com
최재현,연구개발,전무,iyeongja@jusighoesa.net
김영일,홍보,주임,sumin43@ju.kr
최영호,마케팅,주임,bi@live.com
오영길,고객지원,대표이사,seongjin85@naver.com
안영일,고객지원,차장,yeongceolgim@gimgim.net
박예원,재무,대리,imyeongsug@dreamwiz.com
김도현,연구개발,과장,sanghyeonseo@hotmail.com
김민석,생산,전무,gimjihye@daum.net
이현숙,홍보,대표이사,di@hanmail.net
문정남,홍보,부장,gangsubin@yuhanhoesa.net
손민준,재무,대리,ogjabag@gimgangbag.com
